"","x"
"1",4.96822071098862
"2",13.2013484354145
"3",9.94195869855817
"4",11.8680709811364
"5",10.6517017620894
"6",6.1173804935381
"7",6.56245568462711
"8",1.93565801261015
"9",10.4500699159608
"10",6.57187141294885
"11",4.81106335409706
"12",5.97639415330253
"13",4.02311906572807
"14",6.8079329663923
"15",3.70692271514211
"16",14.6263694153309
"17",10.7840691809314
"18",7.10030079664488
"19",8.63037704468361
"20",4.00449003861716
"21",4.45128430251887
"22",3.65156089106953
"23",12.5437310201963
"24",6.58007115327927
"25",3.82704691858837
"26",4.11666267739201
"27",3.08078598833182
"28",3.86259977344413
"29",5.15608447720211
"30",13.5398295119788
"31",11.9864451400811
"32",7.7931777427408
"33",7.49048026373753
"34",5.35899970201715
"35",5.78070327026974
"36",5.1000278702433
"37",11.1757877369177
"38",7.67099910346839
"39",6.50744532578038
"40",7.56754684998838
"41",4.24500327892497
"42",6.04296097922775
"43",4.85979209093075
"44",11.2306485342988
"45",11.07640509291
"46",7.11793523403096
"47",6.25644161542166
"48",5.19175782881104
"49",4.13644914838788
"50",4.38169879473159
"51",10.4176181755607
"52",7.80255259286526
"53",5.38455818975324
"54",5.11586376629382
"55",3.10089963612566
"56",3.77555705184151
"57",10.4729965778257
"58",18.6096119756546
"59",12.5949995195496
"60",7.98046090602522
"61",6.8270959417329
"62",3.19344766084052
"63",2.18453404958278
"64",6.43477170247657
"65",15.3716945933584
"66",7.77830799294995
"67",8.52231868956493
"68",5.19927888074404
"69",2.03955636817412
"70",1.4971712238334
