"","x"
"1",0.0380260627884806
"2",0.0255810002335318
"3",0.0285982032517165
"4",0.026923201786438
"5",0.0282258711993253
"6",0.0235625341415217
"7",0.0239874858031428
"8",0.0141263150031751
"9",0.00756771763339092
"10",0.0100292804475237
"11",0.0106506345502352
"12",0.0113965901237042
"13",0.0154976002870881
"14",0.0219749596500418
"15",0.0205095577797639
"16",0.0237712221257117
"17",0.0253180261170366
"18",0.0221409770815303
"19",0.0180358778732597
"20",0.0152811785194173
"21",0.0133573611912891
"22",0.0153179580168816
"23",0.0143539532391217
"24",0.0155047347740759
"25",0.0200975315599056
"26",0.0183773280460405
"27",0.0178806928625732
"28",0.0159676214675907
"29",0.019135665452748
"30",0.0173178447091808
"31",0.017149991814636
"32",0.0151178990971611
"33",0.0175223593843288
"34",0.0168685491196414
"35",0.0160356480241271
"36",0.0128804140442888
"37",0.0103247220136754
"38",0.0100481286519892
"39",0.0157629992142141
"40",0.0173517611724991
"41",0.0181384690195914
"42",0.0190116925478186
"43",0.0217267869048147
"44",0.0205789258782297
"45",0.0187982715122797
"46",0.0187812210374712
"47",0.0164706356159008
"48",0.0131239140193269
"49",0.0160973098702286
"50",0.0122955378727833
"51",0.0118725582624534
"52",0.016915773478245
"53",0.0135449633602036
"54",0.0204370581197934
"55",0.0178882658919041
"56",0.0165778628745643
"57",0.0141255783950863
"58",0.0120049695413129
"59",0.00638878027875213
"60",0.00971193864177567
"61",0.00367879891398328
"62",0.0109114483689278
"63",0.00926394462158488
"64",0.00927920574601032
"65",0.0107629494164622
"66",0.0144608111674714
"67",0.0142031226995059
"68",0.0148637154264289
"69",0.0120211537184645
"70",0.0141133086705002
